Worker:,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Person 0,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-
Person 1,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-
Person 2,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D
Person 3,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-
Person 4,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-
Person 5,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-
Person 6,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-
Person 7,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-
Person 8,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-,D,x,x,x,x,-,-
Person 9,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E,E,-,x,x,x,-,-
Person 10,E,-,x,x,x,-,-,D,x,x,x,x,-,-,x,D,x,x,x,-,-,x,x,D,x,x,-,-,x,E,E,E,E,-,-,x,x,x,D,x,-,-,x,x,x,x,D,-,-,x,x,x,x,-,D,D,-,x,x,x,x,-,-,x,E,x,x,x,-,-,x,x,x,x,-,E,E
